TABLE NO.     1: MCMC Bayesian Analysis: Goal Function=AVERAGE VALUE OF LIKELIHOOD FUNCTION: Problem=1 Subproblem=0 Superproblem1=0 Iteration1=0 Superproblem2=0 Iteration2=0
 ITERATION    THETA1       THETA2       THETA3       THETA4       THETA5       THETA6       SIGMA(1,1)   SIGMA(2,1)   SIGMA(2,2)   OMEGA(1,1)   OMEGA(2,1)   OMEGA(2,2)   OMEGA(3,1)   OMEGA(3,2)   OMEGA(3,3)   OMEGA(4,1)   OMEGA(4,2)   OMEGA(4,3)   OMEGA(4,4)   MCMCOBJ
        -4983 -5.43667E-01  5.69465E+00  1.02917E+00  5.96979E-01 -1.14239E+01  3.60570E+00  1.18279E+03  0.00000E+00  3.70926E+03  6.05070E-02  0.00000E+00  1.46193E-01  0.00000E+00  1.96204E-02  1.72919E-01  0.00000E+00  2.60620E-01  2.64487E-01  1.58021E+00    4666.7488027785212
        -4982 -5.36354E-01  5.69465E+00  1.02917E+00  6.46773E-01 -1.15798E+01  3.58488E+00  1.19113E+03  0.00000E+00  3.38685E+03  6.65663E-02  0.00000E+00  1.36775E-01  0.00000E+00  1.69994E-02  1.21082E-01  0.00000E+00  2.54642E-01  2.17784E-01  1.56409E+00    4629.6912703361841
        -4981 -5.33628E-01  5.69465E+00  1.02917E+00  6.46773E-01 -1.15798E+01  3.58488E+00  1.35457E+03  0.00000E+00  2.83913E+03  6.08182E-02  0.00000E+00  1.52080E-01  0.00000E+00  1.09711E-02  1.26383E-01  0.00000E+00  2.71456E-01  2.07249E-01  1.53429E+00    4633.1804544681645
        -4980 -5.33628E-01  5.69465E+00  1.02917E+00  6.46773E-01 -1.15798E+01  3.65077E+00  1.04984E+03  0.00000E+00  2.91883E+03  5.01668E-02  0.00000E+00  1.31312E-01  0.00000E+00  6.96360E-03  1.36084E-01  0.00000E+00  2.77595E-01  2.32487E-01  1.62268E+00    4513.6085719132288
        -4979 -5.33628E-01  5.69465E+00  1.02917E+00  6.46773E-01 -1.15798E+01  3.52749E+00  2.35375E+03  0.00000E+00  2.83430E+03  3.75772E-02  0.00000E+00  1.28221E-01  0.00000E+00  1.99252E-02  1.42120E-01  0.00000E+00  3.35066E-01  3.48915E-01  2.32636E+00    4479.8180771120224
        -4978 -5.22636E-01  5.69465E+00  1.02917E+00  6.46773E-01 -1.15798E+01  3.52749E+00  2.17020E+03  0.00000E+00  3.04128E+03  4.02168E-02  0.00000E+00  1.35004E-01  0.00000E+00 -3.51631E-03  1.33415E-01  0.00000E+00  3.13543E-01  2.57603E-01  1.95400E+00    4429.4354759234948
        -4977 -5.22636E-01  5.69465E+00  1.02917E+00  6.46773E-01 -1.15798E+01  3.32939E+00  3.13198E+03  0.00000E+00  2.84910E+03  3.71045E-02  0.00000E+00  1.17438E-01  0.00000E+00  2.31113E-02  1.33347E-01  0.00000E+00  3.55227E-01  3.46210E-01  2.36957E+00    4468.8211775071923
        -4976 -5.22636E-01  5.69465E+00  1.02917E+00  6.46773E-01 -1.15798E+01  3.32939E+00  2.57949E+03  0.00000E+00  2.73585E+03  4.74096E-02  0.00000E+00  1.35049E-01  0.00000E+00  2.55868E-02  1.49619E-01  0.00000E+00  3.87063E-01  3.90283E-01  2.47862E+00    4506.3928228972891
        -4975 -5.30233E-01  5.69465E+00  1.02917E+00  6.46773E-01 -1.15798E+01  3.32939E+00  1.94781E+03  0.00000E+00  2.62058E+03  4.10305E-02  0.00000E+00  1.50137E-01  0.00000E+00  4.25660E-02  1.60141E-01  0.00000E+00  5.06336E-01  4.43774E-01  3.00049E+00    4503.3621696271703
        -4974 -5.30233E-01  5.69465E+00  1.02917E+00  6.36545E-01 -1.15798E+01  3.32939E+00  1.95190E+03  0.00000E+00  2.77149E+03  4.21643E-02  0.00000E+00  1.44214E-01  0.00000E+00  3.53296E-02  1.46626E-01  0.00000E+00  4.77178E-01  3.40121E-01  2.61790E+00    4539.6149586634274
